Time,CPU Usage
12시 36분 16초,0.7600000000000051
12시 36분 17초,2.019999999999996
12시 36분 18초,0.5
12시 36분 19초,1.0100000000000051
12시 36분 20초,0.5100000000000051
12시 36분 21초,0.7600000000000051
12시 36분 22초,2.010000000000005
12시 36분 23초,0.7600000000000051
12시 36분 24초,1.4899999999999949
12시 36분 25초,1.75
12시 36분 26초,0.7600000000000051
12시 36분 27초,1.2600000000000051
12시 36분 28초,1.269999999999996
12시 36분 29초,1.25
12시 36분 30초,0.25
12시 36분 31초,1.0
12시 36분 32초,4.040000000000006
12시 36분 33초,0.5
12시 36분 34초,1.0100000000000051
12시 36분 35초,2.0
12시 36분 36초,0.5100000000000051
12시 36분 37초,1.0100000000000051
12시 36분 38초,0.7600000000000051
12시 36분 39초,0.5100000000000051
12시 36분 40초,0.25
12시 36분 41초,0.5100000000000051
12시 36분 42초,29.040000000000006
12시 36분 43초,34.0
12시 36분 44초,25.439999999999998
12시 36분 45초,25.189999999999998
12시 36분 46초,26.319999999999993
12시 36분 47초,25.810000000000002
12시 36분 48초,29.25
12시 36분 49초,22.61
12시 36분 50초,1.7600000000000051
12시 36분 51초,1.0
12시 36분 52초,1.2600000000000051
12시 36분 53초,0.25
12시 36분 54초,2.510000000000005
12시 36분 55초,1.5
12시 36분 56초,1.25
